,Unnamed: 0,ru_word,ru_tag,token,en_word,syn_ratio,sem_ratio,translation,similarity
0,42,проблема,NOUN,problem,problem,100.0,1.0,problem,100.0
1,71,группа,NOUN,group,group,100.0,1.0,group,100.0
2,103,момент,NOUN,moment,moment,100.0,1.0,moment,100.0
3,125,форма,NOUN,form,form,100.0,1.0,form,100.0
4,190,идея,NOUN,idea,idea,100.0,1.0,idea,100.0
5,235,план,NOUN,plan,plan,100.0,1.0,plan,100.0
6,259,материал,NOUN,material,material,100.0,1.0,material,100.0
7,288,фильм,NOUN,film,film,100.0,1.0,movie,100.0
8,295,документ,NOUN,document,document,100.0,1.0,document,100.0
9,304,пол,NOUN,pol,pol,100.0,1.0,floor,100.0
10,315,период,NOUN,period,period,100.0,1.0,period,100.0
11,386,орган,NOUN,organ,organ,100.0,1.0,organ,100.0
12,403,объект,NOUN,object,object,100.0,1.0,an object,100.0
13,416,музыка,NOUN,music,music,100.0,1.0,music,100.0
14,449,вариант,NOUN,variant,variant,100.0,1.0,option,100.0
15,458,директор,NOUN,director,director,100.0,1.0,director,100.0
16,465,модель,NOUN,model,model,100.0,1.0,model,100.0
17,467,фирма,NOUN,firm,firm,100.0,1.0,firm,100.0
18,471,нормальный,ADJ,normal,normal,100.0,1.0,normal,100.0
19,548,папа,NOUN,pap,pap,100.0,1.0,dad,100.0
20,586,клиент,NOUN,client,client,100.0,1.0,client,100.0
21,590,доктор,NOUN,doctor,doctor,100.0,1.0,doctor,100.0
22,606,масса,NOUN,mass,mass,100.0,1.0,weight,100.0
23,643,банк,NOUN,bank,bank,100.0,1.0,bank,100.0
24,661,контроль,NOUN,control,control,100.0,1.0,control,100.0
25,688,регион,NOUN,region,region,100.0,1.0,region,100.0
26,740,клуб,NOUN,club,club,100.0,1.0,club,100.0
27,761,фонд,NOUN,fond,fond,100.0,1.0,fund,100.0
28,790,федеральный,ADJ,federal,federal,100.0,1.0,federal,100.0
29,816,поэт,NOUN,poet,poet,100.0,1.0,poet,100.0
30,863,фактор,NOUN,factor,factor,100.0,1.0,factor,100.0
31,864,канал,NOUN,canal,canal,100.0,1.0,channel,100.0
32,959,планета,NOUN,planet,planet,100.0,1.0,planet,100.0
33,969,организм,NOUN,organism,organism,100.0,1.0,organism,100.0
34,999,активный,ADJ,active,active,100.0,1.0,active,100.0
