,Unnamed: 0,ru_word,ru_tag,token,en_word,syn_ratio,sem_ratio,translation
0,42,проблема,NOUN,problem,problem,100.0,1.0,problem
1,71,группа,NOUN,group,group,100.0,1.0,group
2,103,момент,NOUN,moment,moment,100.0,1.0,moment
3,125,форма,NOUN,form,form,100.0,1.0,form
4,190,идея,NOUN,idea,idea,100.0,1.0,idea
5,235,план,NOUN,plan,plan,100.0,1.0,plan
6,259,материал,NOUN,material,material,100.0,1.0,material
7,288,фильм,NOUN,film,film,100.0,1.0,movie
8,295,документ,NOUN,document,document,100.0,1.0,document
9,304,пол,NOUN,pol,pol,100.0,1.0,floor
10,315,период,NOUN,period,period,100.0,1.0,period
11,386,орган,NOUN,organ,organ,100.0,1.0,organ
12,403,объект,NOUN,object,object,100.0,1.0,an object
13,416,музыка,NOUN,music,music,100.0,1.0,music
14,449,вариант,NOUN,variant,variant,100.0,1.0,option
15,458,директор,NOUN,director,director,100.0,1.0,director
16,465,модель,NOUN,model,model,100.0,1.0,model
17,467,фирма,NOUN,firm,firm,100.0,1.0,firm
18,471,нормальный,ADJ,normal,normal,100.0,1.0,normal
19,548,папа,NOUN,pap,pap,100.0,1.0,dad
20,586,клиент,NOUN,client,client,100.0,1.0,client
21,590,доктор,NOUN,doctor,doctor,100.0,1.0,doctor
22,606,масса,NOUN,mass,mass,100.0,1.0,weight
23,643,банк,NOUN,bank,bank,100.0,1.0,bank
24,661,контроль,NOUN,control,control,100.0,1.0,control
25,688,регион,NOUN,region,region,100.0,1.0,region
26,740,клуб,NOUN,club,club,100.0,1.0,club
27,761,фонд,NOUN,fond,fond,100.0,1.0,fund
28,790,федеральный,ADJ,federal,federal,100.0,1.0,federal
29,816,поэт,NOUN,poet,poet,100.0,1.0,poet
30,863,фактор,NOUN,factor,factor,100.0,1.0,factor
31,864,канал,NOUN,canal,canal,100.0,1.0,channel
32,959,планета,NOUN,planet,planet,100.0,1.0,planet
33,969,организм,NOUN,organism,organism,100.0,1.0,organism
34,999,активный,ADJ,active,active,100.0,1.0,active
35,1013,инструмент,NOUN,instrument,instrument,100.0,1.0,tool
36,1017,пост,NOUN,post,post,100.0,1.0,fast
37,1035,секс,NOUN,sex,sex,100.0,1.0,sex
38,1080,эффект,NOUN,effect,effect,100.0,1.0,Effect
39,1084,риск,NOUN,risk,risk,100.0,1.0,risk
40,1090,партнер,NOUN,partner,partner,100.0,1.0,partner
41,1138,рад,ADJ,rad,rad,100.0,1.0,glad
42,1141,конфликт,NOUN,conflict,conflict,100.0,1.0,conflict
43,1179,радио,NOUN,radio,radio,100.0,1.0,radio
44,1197,эффективный,ADJ,effective,effective,100.0,1.0,effective
45,1214,газ,NOUN,gas,gas,100.0,1.0,gas
46,1225,контакт,NOUN,contact,contact,100.0,1.0,contact
47,1371,танк,NOUN,tank,tank,100.0,1.0,tank
48,1443,кризис,NOUN,crisis,crisis,100.0,1.0,a crisis
49,1464,индивидуальный,ADJ,individual,individual,100.0,1.0,individual
50,1467,концерт,NOUN,concert,concert,100.0,1.0,concert
51,1521,статус,NOUN,status,status,100.0,1.0,status
52,1543,бок,NOUN,boc,boc,100.0,1.0,side
53,1584,пациент,NOUN,patient,patient,100.0,1.0,patient
54,1595,лоб,NOUN,lob,lob,100.0,1.0,forehead
55,1601,спорт,NOUN,sport,sport,100.0,1.0,sport
56,1663,кредит,NOUN,credit,credit,100.0,1.0,credit
57,1705,секрет,NOUN,secret,secret,100.0,1.0,secret
58,1730,сектор,NOUN,sector,sector,100.0,1.0,sector
59,1864,интеллектуальный,ADJ,intellectual,intellectual,100.0,1.0,intellectual
60,1866,агент,NOUN,agent,agent,100.0,1.0,agent
61,1878,семинар,NOUN,seminar,seminar,100.0,1.0,seminar
62,1882,сервер,NOUN,server,server,100.0,1.0,server
63,1950,код,NOUN,cod,cod,100.0,1.0,code
64,1963,порт,NOUN,port,port,100.0,1.0,port
65,1974,темп,NOUN,temp,temp,100.0,1.0,pace
66,1998,аргумент,NOUN,argument,argument,100.0,1.0,argument
67,2012,формат,NOUN,format,format,100.0,1.0,format
68,2026,бомба,NOUN,bomb,bomb,100.0,1.0,bomb
69,2053,административный,ADJ,administrative,administrative,100.0,1.0,administrative
70,2060,контракт,NOUN,contract,contract,100.0,1.0,Contract
71,2061,диалог,NOUN,dialog,dialog,100.0,1.0,dialogue
72,2087,оператор,NOUN,operator,operator,100.0,1.0,operator
73,2138,протокол,NOUN,protocol,protocol,100.0,1.0,protocol
74,2181,тест,NOUN,test,test,100.0,1.0,test
75,2237,салон,NOUN,salon,salon,100.0,1.0,salon
76,2263,фестиваль,NOUN,festival,festival,100.0,1.0,festival
77,2290,антон,ADJ,anton,anton,100.0,1.0,anton
78,2309,корреспондент,NOUN,correspondent,correspondent,100.0,1.0,correspondent
79,2317,идеал,NOUN,ideal,ideal,100.0,1.0,ideal
80,2322,визит,NOUN,visit,visit,100.0,1.0,visit
81,2354,инвестор,NOUN,investor,investor,100.0,1.0,investor
82,2370,статистик,NOUN,statistic,statistic,100.0,1.0,statistician
83,2387,прогресс,NOUN,progress,progress,100.0,1.0,progress
